"Đơn vị","Lĩnh vực","Mã số TTHC","Tên TTHC","Phí, lệ phí","Số hiệu Quyết định Phê duyệt Danh mục TTHC","Số hiệu Quyết định Quy trình nội bộ","Nơi tiếp nhận hồ sơ và trả kết quả","Cấp thực hiện","Thẩm quyền giải quyết","Số hiệu Quyết định công bố danh mục DVCTT","Mức độ DVCTT hiện tại","Ghi chú"
"GDĐT","Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.005144.000.00.00.H34","Đề nghị miễn giảm học phí, hỗ trợ chi phí học tập, hỗ trợ tiền đóng học phí đối với người học tại các cơ sở giáo dục mầm non, giáo dục phổ thông, giáo dục thường xuyên, giáo dục nghề nghiệp và giáo dục đại học","Không","Quyết định số 572/QĐ-UBND ngày 05/11/2021","Chưa có","Trung tâm Phục vụ hành chính công tỉnh; Bộ phận tiếp nhận và trả kết quả Ủy ban nhân dân cấp huyện","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 526/QĐ-UBND ngày 05/10/2021","Mức độ 4",""
"GDĐT","Giáo dục đào tạo thuộc hệ thống giáo dục quốc dân và các cơ sở khác","1.004443.000.00.00.H34","Cho phép nhóm trẻ, lớp mẫu giáo độc lập hoạt động giáo dục trở lại","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 470/QĐ-UBND ngày 26/8/2021","Bộ phận Tiếp nhận và Trả kết quả cấp Xã","Cấp Xã","UBND cấp Xã","","Mức độ 2",""
"GDĐT","Giáo dục đào tạo thuộc hệ thống giáo dục quốc dân và các cơ sở khác","1.004485.000.00.00.H34","Sáp nhập, chia, tách nhóm trẻ, lớp mẫu giáo độc lập","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 470/QĐ-UBND ngày 26/8/2021","Bộ phận Tiếp nhận và Trả kết quả cấp Xã","Cấp Xã","UBND cấp Xã","","Mức độ 2",""
"GDĐT","Giáo dục đào tạo thuộc hệ thống giáo dục quốc dân và các cơ sở khác","2.001810.000.00.00.H34","Giải thể nhóm trẻ, lớp mẫu giáo độc lập (theo yêu cầu của tổ chức, cá nhân đề nghị thành lập)","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 470/QĐ-UBND ngày 26/8/2021","Bộ phận Tiếp nhận và Trả kết quả cấp Xã","Cấp Xã","UBND cấp Xã","","Mức độ 2",""
"GDĐT","Quy chế thi, tuyển sinh","1.009394.000.00.00.H34","Đăng ký xét tuyển học theo chế độ cử tuyển","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 200/QĐ-UBND ngày 16/4/2021","Mức độ 3",""
"GDĐT","Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.008723.000.00.00.H34","Chuyển đổi trường trung học phổ thông tư thục, trường phổ thông tư thục có nhiều cấp học có cấp học cao nhất là trung học phổ thông do nhà đầu tư trong nước đầu tư; cơ sở giáo dục phổ thông tư thục do nhà đầu tư nước ngoài đầu tư sang trường phổ thông tư thục hoạt động không vì lợi nhuận","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 200/QĐ-UBND ngày 16/4/2021","Mức độ 3",""
"GDĐT","Đào tạo với nước ngoài","1.008722.000.00.00.H34","Chuyển đổi nhà trẻ, trường mẫu giáo, trường mầm non tư thục do nhà đầu tư nước ngoài đầu tư sang nhà trẻ, trường mẫu giáo, trường mầm non tư thục hoạt động không vì lợi nhuận","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 200/QĐ-UBND ngày 16/4/2021","Mức độ 3",""
"GDĐT","Giáo dục đào tạo thuộc hệ thống giáo dục quốc dân và các cơ sở khác","1.004712.000.00.00.H34","Tổ chức lại, cho phép tổ chức lại trung tâm hỗ trợ và phát triển giáo dục hòa nhập","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Nội vụ và Sở Lao động, Thương binh Xã hội","Quyết định số 200/QĐ-UBND ngày 16/4/2021","Mức độ 3",""
"GDĐT","Giáo dục nghề nghiệp","1.005069.000.00.00.H34","Thành lập trường trung cấp sư phạm công lập, cho phép thành lập trường trung cấp sư phạm tư thục","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 07/QĐ-UBND ngày 06/01/2021","Mức độ 3",""
"GDĐT","Giáo dục đào tạo thuộc hệ thống giáo dục quốc dân và các cơ sở khác","1.005017.000.00.00.H34","Thành lập trường năng khiếu thể dục thể thao thuộc địa phương","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 07/QĐ-UBND ngày 06/01/2021","Mức độ 3",""
"GDĐT","Giáo dục nghề nghiệp","1.005088.000.00.00.H34","Thành lập phân hiệu trường trung cấp sư phạm hoặc cho phép thành lập phân hiệu trường trung cấp sư phạm tư thục","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 07/QĐ-UBND ngày 06/01/2021","Mức độ 3",""
"GDĐT","Giáo dục nghề nghiệp","1.005073.000.00.00.H34","Sáp nhập, chia, tách trường trung cấp sư phạm","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","","Mức độ 2",""
"GDĐT","Giáo dục thường xuyên","1.000744.000.00.00.H34","Sáp nhập, chia tách Trung tâm giáo dục thường xuyên","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Nội vụ và Sở Lao động, Thương binh Xã hội","Quyết định số 200/QĐ-UBND ngày 16/4/2021","Mức độ 3",""
"GDĐT","Đào tạo với nước ngoài","1.001499.000.00.00.H34","Phê duyệt liên kết giáo dục","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 07/QĐ-UBND ngày 06/01/2021","Mức độ 3",""
"GDĐT","Giáo dục trung học","1.006389.000.00.00.H34","Giải thể trường trung học phổ thông (theo đề nghị của cá nhân, tổ chức thành lập trường)","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","","Mức độ 2",""
"GDĐT","Giáo dục nghề nghiệp","2.001988.000.00.00.H34","Giải thể trường trung cấp sư phạm (theo đề nghị của tổ chức, cá nhân đề nghị thành lập trường trung cấp)","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","","Mức độ 2",""
"GDĐT","Giáo dục đào tạo thuộc hệ thống giáo dục quốc dân và các cơ sở khác","1.005036.000.00.00.H34","Giải thể trung tâm ngoại ngữ, tin học (theo đề nghị của cá nhân tổ chức thành lập trung tâm ngoại ngữ, tin hoc)","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","","Mức độ 2",""
"GDĐT","Giáo dục nghề nghiệp","1.005087.000.00.00.H34","Giải thể phân hiệu trường trung cấp sư phạm (theo đề nghị của tổ chức, cá nhân đề nghị thành lập phân hiệu trường trung cấp)","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","","Mức độ 2",""
"GDĐT","Đào tạo với nước ngoài","1.001497.000.00.00.H34","Gia hạn, điều chỉnh hoạt động liên kết giáo dục","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 07/QĐ-UBND ngày 06/01/2021","Mức độ 3",""
"GDĐT","Đào tạo với nước ngoài","1.001492.000.00.00.H34","Đăng ký hoạt động của Văn phòng đại diện giáo dục nước ngoài tại Việt Nam","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 200/QĐ-UBND ngày 16/4/2021","Mức độ 3",""
"GDĐT","Giáo dục nghề nghiệp","2.001989.000.00.00.H34","Đăng ký bổ sung hoạt động giáo dục nghề nghiệp đối với nhóm ngành đào tạo giáo viên trình độ trung cấp","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 200/QĐ-UBND ngày 16/4/2021","Mức độ 3",""
"GDĐT","Giáo dục dân tộc","1.004496.000.00.00.H34","Cho phép trường phổ thông dân tộc nội trú có cấp học cao nhất là trung học cơ sở hoạt động giáo dục","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Bộ phận Tiếp nhận và Trả kết quả cấp Huyện","Cấp Huyện","UBND cấp Huyện","","Mức độ 2",""
"GDĐT","Đào tạo với nước ngoài","1.001495.000.00.00.H34","Cho phép hoạt động giáo dục trở lại đối với cơ sở đào tạo, bồi dưỡng ngắn hạn;cơ sở giáo dục mầm non; cơ sở giáo dục phổ thông có vốn đầu tư nước ngoài tại Việt Nam","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 200/QĐ-UBND ngày 16/4/2021","Mức độ 3",""
"GDĐT","Giáo dục nghề nghiệp","1.005082.000.00.00.H34","Cho phép hoạt động giáo dục nghề nghiệp trở lại đối với nhóm ngành đào tạo giáo viên trình độ trung cấp","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 200/QĐ-UBND ngày 16/4/2021","Mức độ 3",""
"GDĐT","Đào tạo với nước ngoài","1.006446.000.00.00.H34","Cho phép hoạt động giáo dục đối với cơ sở đào tạo, bồi dưỡng ngắn hạn; cơ sở giáo dục mầm non; cơ sở giáo dục phổ thông có vốn đầu tư nước ngoài tại Việt Nam","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 200/QĐ-UBND ngày 16/4/2021","Mức độ 3",""
"GDĐT","Đào tạo với nước ngoài","1.001496.000.00.00.H34","Chấm dứt hoạt động liên kết giáo dục theo đề nghị của các bên liên kết","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","","Mức độ 2",""
"GDĐT","Đào tạo với nước ngoài","1.000718.000.00.00.H34","Bổ sung, điều chỉnh quyết định cho phép hoạt động giáo dục đối với cơ sở đào tạo, bồi dưỡng ngắn hạn; cơ sở giáo dục mầm non; cơ sở giáo dục phổ thông có vốn đầu tư nước ngoài tại Việt Nam","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 200/QĐ-UBND ngày 16/4/2021","Mức độ 3",""
"GDĐT","Giáo dục mầm non","1.006444.000.00.00.H34","Cho phép trường mẫu giáo, trường mầm non, nhà trẻ hoạt động giáo dục trở lại","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Bộ phận Tiếp nhận và Trả kết quả cấp Huyện","Cấp Huyện","UBND cấp Huyện","","Mức độ 2",""
"GDĐT","Giáo dục dân tộc","1.005079.000.00.00.H34","Sáp nhập, chia tách trường phổ thông dân tộc nội trú","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 200/QĐ-UBND ngày 16/4/2021","Mức độ 3",""
"GDĐT","Giáo dục dân tộc","1.005076.000.00.00.H34","Giải thể trường phổ thông dân tộc nội trú (Theo yêu cầu của tổ chức, cá nhân đề nghị thành lập trường)","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 200/QĐ-UBND ngày 16/4/2021","Mức độ 3",""
"GDĐT","Giáo dục tiểu học","2.001842.000.00.00.H34","Cho phép trường tiểu học hoạt động giáo dục","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Bộ phận Tiếp nhận và Trả kết quả cấp Huyện","Cấp Huyện","UBND cấp Huyện","","Mức độ 2",""
"GDĐT","Giáo dục trung học","1.004444.000.00.00.H34","Cho phép trường trung học cơ sở hoạt động giáo dục","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Bộ phận Tiếp nhận và Trả kết quả cấp Huyện","Cấp Huyện","UBND cấp Huyện","","Mức độ 2",""
"GDĐT","Lĩnh vực Giáo dục Dân tộc","1.005090.000.00.00.H34","Xét tuyển sinh vào trường Phổ thông dân tộc nội trú","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 475/QĐ-UBND ngày 27/8/2021","Mức độ 4",""
"GDĐT","Lĩnh vực Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.005354.000.00.00.H34","Cấp giấy chứng nhận đăng ký hoạt động giáo dục nghề nghiệp đối với nhóm ngành đào tạo giáo viên trình độ trung cấp","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Lĩnh vực Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.005061.000.00.00.H34","Cấp giấy chứng nhận đăng ký kinh doanh dịch vụ tư vấn du học","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.004435.000.00.00.H34","Xét, duyệt chính sách hỗ trợ đối với học sinh trung học phổ thông là người dân tộc Kinh","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Lĩnh vực Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.005143.000.00.00.H34","Đề nghị phê duyệt việc dạy và học bằng tiếng nước ngoài","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Lĩnh vực Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.001088.000.00.00.H34","Xin học lại tại trường khác đối với học sinh trung học","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Lĩnh vực Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.004436.000.00.00.H34","Xét, duyệt chính sách hỗ trợ đối với học sinh trung học phổ thông là người dân tộc thiểu số","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Lĩnh vực Giáo dục Trung học","1.000270.000.00.00.H34","Chuyển trường đối với học sinh trung học phổ thông","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
